user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,semantic_similarity,answer_correctness
Apa itu portal pelayanan dan pelindungan WNI?,"['terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI', '40 \nBAB III PENUTUP \n \nDemikian Panduan ini dibuat untuk memudahkan WNI memahami dan menggunakan \naplikasi Portal Pelayanan dan Pelindungan WNI di Luar Negeri.', 'PANDUAN USER WNI \nMODUL LAPOR DIRI \nPORTAL PELAYANAN DAN \nPERLINDUNGAN WNI DI LUAR NEGERI \n \nDIREKTORAT JENDERAL PROTOKOL DAN KONSULER \nKEMENTERIAN LUAR NEGERI', '4 \nBAB II PENJELASAN PENGGUNAAN SISTEM APLIKASI \n \nBagian ini akan menjelaskan tentang cara penggunaan Portal Pelayanan dan Pelindungan \nWNI di luar negeri untuk user WNI. Untuk dapat mengakses fitur-fitur yang ada di Portal \nPelayanan dan Pelindungan WNI di luar negeri, sesuai dengan standar keamanan website, \nuser diharuskan untuk melakukan login terlebih dahulu dengan cara klik \n, \nkemudian sistem akan menampilkan form login seperti berikut. \n \nGambar 3 WNI - Login \n \nApabila user sudah mempunyai akun pada Portal Pelayanan dan Pelindungan WNI di Luar \nNegeri, maka user dapat mengetikkan email dan password pada kolom yang sudah \ndisediakan lalu klik \n untuk masuk. Apabila user belum mempunyai akun pada \nPortal Pelayanan dan Pelindungan WNI di luar negeri, maka user dapat klik \n, \nkemudian sistem akan menampilkan form pendaftaran seperti berikut. \n \nGambar 4 WNI – Daftar']","Portal Pelayanan dan Pelindungan WNI di Luar Negeri adalah aplikasi yang dibuat untuk memudahkan WNI memahami dan menggunakan pelayanan dan pelindungan WNI di luar negeri.

Apakah jawaban ini membantu?",Portal ini adalah sistem resmi Kementerian Luar Negeri untuk WNI di luar negeri.,0.3333333333,0.0,1.0,0.9062571216549501,0.7265832370099903
Bagaimana cara daftar akun di portal peduliWNI?,"['iii \nDAFTAR GAMBAR \n \nGambar 1 Hak Akses WNI ........................................................................................................ 1 \nGambar 2 Halaman Awal Aplikasi .......................................................................................... 2 \nGambar 3 WNI - Login ........................................................................................................... 4 \nGambar 4 WNI – Daftar ........................................................................................................ 4 \nGambar 5 WNI – Email Konfirmasi ....................................................................................... 5 \nGambar 6 WNI - Beranda ....................................................................................................... 6 \nGambar 7 WNI - Lapor Diri ..................................................................................................... 7', 'PANDUAN USER WNI \nMODUL LAPOR DIRI \nPORTAL PELAYANAN DAN \nPERLINDUNGAN WNI DI LUAR NEGERI \n \nDIREKTORAT JENDERAL PROTOKOL DAN KONSULER \nKEMENTERIAN LUAR NEGERI', 'terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI', '39 \n \nGambar 63 WNI – Informasi Akun (4) \n \n \nUser dapat klik \n maka sistem akan mengembalikan halaman ke halaman \npublik.']","Untuk mendaftar akun di portal pelayanan dan perlindungan WNI di luar negeri, berikut adalah langkah-langkahnya:

1.  Akses halaman awal aplikasi. (Gambar 2)
2.  Pada halaman awal, cari opsi ""Daftar"" dan klik opsi tersebut. (Gambar 4)
3.  Isi formulir pendaftaran dengan informasi yang diperlukan.
4.  Setelah mengisi formulir, periksa email Anda untuk melakukan konfirmasi pendaftaran. (Gambar 5)

Apakah jawaban ini membantu?",Klik daftar di situs peduliwni.kemlu.go.id dan isi formulir online.,0.0,0.0,0.0,0.8743114427920482,0.6471492892694406
Apakah WNI wajib lapor diri saat tinggal di luar negeri?,"['terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI', '3 \n7. \n \nMenu ini menampilkan pengumuman penting bagi WNI di \nluar negeri, yang terdiri dari pengumuman pusat dan \npengumuman lokal (sesuai negara). \n8. \n \nMenu \nini \nmenampilkan \nreferensi \nhukum \nterkait \nkeberadaan dan perlindungan WNI di luar negeri. \n9. \n \nMenu ini menampilkan pertanyaan umum terkait kendala \nyang paling banyak ditanyakan oleh WNI \n10. \n \nMenu ini digunakan untuk melihat profil WNI serta \nmelakukan ubahan password akun WNI', '40 \nBAB III PENUTUP \n \nDemikian Panduan ini dibuat untuk memudahkan WNI memahami dan menggunakan \naplikasi Portal Pelayanan dan Pelindungan WNI di Luar Negeri.', '22 \n \nGambar 39 WNI - Lapor Diri - Form Lapor Diri Keluarga']","Maaf, saya tidak tahu. Informasi yang tersedia hanya menjelaskan tentang menu ""Lapor Diri"" pada aplikasi Portal Pelayanan dan Pelindungan WNI di Luar Negeri, serta tampilan formulir Lapor Diri Keluarga.

Apakah jawaban ini membantu? Jika ya, saya senang bisa membantu. Jika tidak, saya mohon maaf dan siap membantu lebih lanjut jika ada pertanyaan lain.","Ya, WNI wajib lapor diri saat tinggal di luar negeri.",0.49999999995,1.0,0.3333333333333333,0.8412927552553687,0.21032318881384218
Apa dasar hukum kewajiban lapor diri WNI di luar negeri?,"['terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI', '3 \n7. \n \nMenu ini menampilkan pengumuman penting bagi WNI di \nluar negeri, yang terdiri dari pengumuman pusat dan \npengumuman lokal (sesuai negara). \n8. \n \nMenu \nini \nmenampilkan \nreferensi \nhukum \nterkait \nkeberadaan dan perlindungan WNI di luar negeri. \n9. \n \nMenu ini menampilkan pertanyaan umum terkait kendala \nyang paling banyak ditanyakan oleh WNI \n10. \n \nMenu ini digunakan untuk melihat profil WNI serta \nmelakukan ubahan password akun WNI', '31 \n \n \n \nGambar 51 WNI – Detail Pengumuman \nII.6.2 Pencarian Data Pengumuman \nPada menu pengumuman, user juga dapat melakukan pencarian pengumuman dengan \nmengetikkan kata kunci pada \n , maka sistem langsung \nmenampilkan data pengumuman yang sesuai dengan pencarian yang dilakukan user. \n \nII.7 Menu Referensi \nMenu ini menampilkan referensi hukum terkait perlindungan WNI di luar negeri. Untuk \ndapat mengakses menu tersebut, user dapat memilih \n,kemudian sistem akan \nmenampilkan halaman referensi yang telah dikelompokan berdasarkan kategori, seperti \nberikut.', '24 \n \nGambar 41 WNI - Pelindungan - Form Identitas \n \nPada form identias, isikan informasi dengan lengkap agar memudahkan pihak \nperwakilan mengambil tindatakn terhadap kasus yang ada. Kemudian klik \n untuk melanjutkan ke form kasus.']","Maaf, saya tidak tahu. Saya dapat membantu menjawab pertanyaan terkait menu-menu yang ada pada portal WNI, seperti menu Pengumuman, Referensi, Pelindungan, dan lainnya. Apakah ada hal lain yang bisa saya bantu?",UU No.23 Tahun 2006 tentang Administrasi Kependudukan.,0.0,0.0,0.25,0.7840485639381742,0.19601214098454356
Apa saja jenis lapor diri yang tersedia di aplikasi peduliWNI?,"['14 \n \nGambar 22 WNI - Lapor Diri - Konfirmasi Lapor Diri \n \nUser dapat klik untuk mencentang pada checkbox \n \nterlebih dahulu, kemudian pilih \n untuk mengirim data lapor diri. \nJika ada data yang ternyata salah diisikan, WNI dapat klik \n \nuntuk mengubah data lapor diri. Sehingga akan tampil seperti gambar berikut.', ', maka sistem akan menampilkan halaman pengisian lapor diri \nkedatangan seperti berikut. \n \nGambar 8 WNI - Lapor Diri - Input NIK', '12 \n \nGambar 18 WNI - Lapor Diri -  Identitas \nSetelah \nselesai \nmengisikan \ndata \nidentitas, \nuser \ndapat \nklik  \n untuk melanjutkan proses lapor diri. Apabila telah \nselesai dari halaman input identitas, maka user akan diarahkan pada halaman input \ndata di luar negeri seperti berikut. \n \nGambar 19 WNI - Lapor Diri - Input Data di Luar Negeri', 'II.6 Menu Pengumuman ................................................................................................. 30 \nII.6.1 Lihat Detail .......................................................................................................... 30 \nII.6.2 Pencarian Data Pengumuman ............................................................................. 31 \nII.7 Menu Referensi ......................................................................................................... 31 \nII.8 Profil WNI ..................................................................................................................32 \nII.8.1 Lihat Detail .......................................................................................................... 33 \nII.8.1.1 Identitas ........................................................................................................ 34']","Maaf, saya tidak tahu. Informasi yang saya miliki tidak menjelaskan jenis-jenis lapor diri yang tersedia di aplikasi PeduliWNI.

Apakah jawaban ini membantu? Jika tidak, mohon beritahu saya, dan saya akan mencoba mencari informasi lebih lanjut.","Kedatangan, perpindahan, kepulangan, dan keluarga.",0.0,0.0,0.0,0.7655540761928961,0.19138851904822402
Bagaimana cara lapor diri jika belum pernah lapor diri sebelumnya?,"['15 \n \nGambar 23 WNI - Lapor Diri - Konfirmasi Lapor Diri – Ubah', '22 \n \nGambar 39 WNI - Lapor Diri - Form Lapor Diri Keluarga', '6 \n \nGambar 6 WNI - Beranda', '39 \n \nGambar 63 WNI – Informasi Akun (4) \n \n \nUser dapat klik \n maka sistem akan mengembalikan halaman ke halaman \npublik.']","Maaf, saya tidak tahu. Informasi yang saya miliki tidak menjelaskan bagaimana cara lapor diri jika belum pernah lapor diri sebelumnya.

Apakah jawaban ini membantu? Jika tidak, mohon maaf, dan saya akan berusaha membantu lebih lanjut jika ada pertanyaan lain.","Isi NIK, paspor, atau KTKLN jika belum pernah lapor diri.",0.0,0.0,0.0,0.838226295209078,0.2095565738022695
Apakah bisa lapor diri menggunakan paspor jika NIK tidak ditemukan?,"['15 \n \nGambar 23 WNI - Lapor Diri - Konfirmasi Lapor Diri – Ubah', 'secara otomatis akan mengarahkan pada halaman input nomor KTKLN seperti \nberikut. Namun jika dari pencarian NIK / Paspor, dua-duanya atau salah satunya \nditemukan, maka sistem tidak akan mengarahkan ke halaman input nomor KTKLN. \nHalaman ini hanya akan ditampilkan jika pencarian NIK dan Paspor tidak \nditemukan.', '6 \n \nGambar 6 WNI - Beranda', '10 \nSetelah memasukkan nomor paspor dan tanggal habis berlaku, maka user dapat \nklik \n kemudian sistem akan melakukan pengecekan nomor paspor \ntersebut yang langsung terhubung dengan SIMKIM (Sistem Informasi Manajemen \nKeimigrasian), apabila nomor paspor tersebut valid, maka sistem akan \nmenampilkan pop up seperti berikut. \n \nGambar 14 WNI - Lapor Diri - Pop Up Paspor \nJika data yang ditampilkan sudah sesuai, maka user dapat memilih \n, \nkemudian sistem akan menampilkan pada halaman berikutnya, yaitu pengisian \ntahap 2. Data di Luar Negeri. Namun apabila, nomor paspor yang dimasukkan tidak \nvalid, maka sistem akan menampilkan pop up seperti berikut. \n \nGambar 15 WNI - Lapor Diri - Pop Up Paspor Tidak Ditemukan \nUser dapat klik \n jika ingin tetap menggunakan Paspor tersebut, atau \ndapat klik \n untuk memasukkan ulang Nomor Paspor yang benar. Jika \nuser tidak mempunyai Nomor Paspor yang valid / paspor hilang, maka user dapat \nklik \n. Jika sebelumnya NIK tidak ditemukan, maka sistem']","Tentu bisa. Berdasarkan informasi yang tersedia, jika NIK tidak ditemukan, Anda tetap dapat melakukan lapor diri dengan menggunakan nomor paspor. Sistem akan melakukan pengecekan nomor paspor tersebut melalui SIMKIM (Sistem Informasi Manajemen Keimigrasian).

Apakah jawaban ini membantu?","Ya, sistem akan meminta nomor paspor jika NIK tidak ditemukan.",0.499999999975,1.0,1.0,0.9033051510274228,0.6008262877568558
Bagaimana jika nomor paspor tidak valid di sistem?,"['10 \nSetelah memasukkan nomor paspor dan tanggal habis berlaku, maka user dapat \nklik \n kemudian sistem akan melakukan pengecekan nomor paspor \ntersebut yang langsung terhubung dengan SIMKIM (Sistem Informasi Manajemen \nKeimigrasian), apabila nomor paspor tersebut valid, maka sistem akan \nmenampilkan pop up seperti berikut. \n \nGambar 14 WNI - Lapor Diri - Pop Up Paspor \nJika data yang ditampilkan sudah sesuai, maka user dapat memilih \n, \nkemudian sistem akan menampilkan pada halaman berikutnya, yaitu pengisian \ntahap 2. Data di Luar Negeri. Namun apabila, nomor paspor yang dimasukkan tidak \nvalid, maka sistem akan menampilkan pop up seperti berikut. \n \nGambar 15 WNI - Lapor Diri - Pop Up Paspor Tidak Ditemukan \nUser dapat klik \n jika ingin tetap menggunakan Paspor tersebut, atau \ndapat klik \n untuk memasukkan ulang Nomor Paspor yang benar. Jika \nuser tidak mempunyai Nomor Paspor yang valid / paspor hilang, maka user dapat \nklik \n. Jika sebelumnya NIK tidak ditemukan, maka sistem', 'secara otomatis akan mengarahkan pada halaman input nomor KTKLN seperti \nberikut. Namun jika dari pencarian NIK / Paspor, dua-duanya atau salah satunya \nditemukan, maka sistem tidak akan mengarahkan ke halaman input nomor KTKLN. \nHalaman ini hanya akan ditampilkan jika pencarian NIK dan Paspor tidak \nditemukan.', '9 \n \nGambar 11 WNI - Lapor diri - Pop Up NIK Tidak Ditemukan \nUser dapat klik \n jika ingin tetap menggunakan NIK tersebut, atau dapat \nklik \n untuk memasukkan ulang NIK yang benar. Jika user tidak \nmempunyai NIK yang valid, maka user dapat klik \n, maka sistem \nsecara otomatis akan mengarahkan pada halaman input nomor paspor seperti \nberikut. \n \nGambar 12 WNI - Lapor Diri - Input Paspor \n \nSama halnya dengan halaman input NIK, sistem juga memberikan informasi \nmengenai contoh nomor paspor yang benar dengan klik \n, kemudian sistem \nakan menampilkan contoh nomor paspor dengan ditandai warna merah seperti \nberikut. \n \nGambar 13 WNI - Lapor Diri - Informasi Paspor', '17 \nUser dapat memasukkan nomor registrasi lapor diri pada kolom yang telah \ndisediakan kemudian klik \n memproses pengecekan nomor \nregistrasi lapor diri, sehingga sistem akan menampilkan pop up setiap berikut. \n \nGambar 27 WNI - Akun Terhubung \n \nApabila data yang dimasukkan tidak valid, maka sistem akan menampilkan pop up \nseperti berikut. \n \nGambar 28 WNI - Nomor Registrasi Tidak Ditemukan \n \nSelanjutnya, user dapat memilih \n, dan melakukan input ulang nomor \nregistrasi lapor diri. Apabila user lupa dengan nomor registrasi lapor diri yang \npernah dilakukan, maka user dapat memilih \n, kemudian sistem \nakan menampilkan form seperti berikut. \n \nGambar 29 WNI - Lupa Nomor Registrasi Lapor Diri \nSelesai mengisikan data, user dapat memilih \n untuk memproses \ndata yang dimasukkan. Jika data yang dimasukkan memang sudah valid dan \npernah melakukan lapor diri, maka sistem akan menampilkan pop up seperti \nberikut.']","Jika nomor paspor yang Anda masukkan tidak valid, sistem akan menampilkan pop-up yang memberitahukan bahwa nomor paspor tidak ditemukan. Anda dapat memilih ""Tetap Gunakan Paspor Ini"" jika ingin tetap menggunakan paspor tersebut, atau dapat memilih ""Ubah Nomor Paspor"" untuk memasukkan ulang nomor paspor yang benar. Jika Anda tidak mempunyai nomor paspor yang valid atau paspor hilang, Anda dapat memilih ""Tidak Punya Paspor"".

Apakah informasi ini membantu?",Sistem akan minta input ulang atau lanjutkan dengan KTKLN.,0.999999999975,1.0,0.8333333333333334,0.8451787130853903,0.21129467827134757
Apa itu KTKLN dan kapan harus digunakan saat lapor diri?,"['22 \n \nGambar 39 WNI - Lapor Diri - Form Lapor Diri Keluarga', '6 \n \nGambar 6 WNI - Beranda', '39 \n \nGambar 63 WNI – Informasi Akun (4) \n \n \nUser dapat klik \n maka sistem akan mengembalikan halaman ke halaman \npublik.', 'terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI']","Maaf, saya tidak tahu mengenai KTKLN dan kapan harus digunakan saat lapor diri. Informasi yang saya miliki terbatas pada fitur-fitur yang tersedia pada aplikasi atau website terkait layanan dan perlindungan WNI di luar negeri, seperti Lapor Diri, Pelindungan, Pengaduan Layanan, Pelayanan, Informasi Pelayanan, Pengumuman, Referensi, FAQ, dan Profil WNI.

Apakah jawaban ini membantu? Jika tidak, mohon beritahu saya, dan saya akan mencoba membantu dengan cara lain.",KTKLN adalah kartu tenaga kerja untuk WNI di luar negeri.,0.0,0.0,0.4,0.8410803020902299,0.21027007552255747
"Apakah bisa lapor diri jika tidak punya NIK, paspor, dan KTKLN?","['15 \n \nGambar 23 WNI - Lapor Diri - Konfirmasi Lapor Diri – Ubah', 'secara otomatis akan mengarahkan pada halaman input nomor KTKLN seperti \nberikut. Namun jika dari pencarian NIK / Paspor, dua-duanya atau salah satunya \nditemukan, maka sistem tidak akan mengarahkan ke halaman input nomor KTKLN. \nHalaman ini hanya akan ditampilkan jika pencarian NIK dan Paspor tidak \nditemukan.', '6 \n \nGambar 6 WNI - Beranda', 'terlihat tampilan berikut ini. \nWNI\nBeranda\nLapor Diri\nPelindungan\nPengaduan Layanan\nPelayanan\nInformasi Pelayanan\nPengumuman\nReferensi\nFAQ\nProfil WNI']","Maaf, berdasarkan informasi yang tersedia, sistem akan meminta nomor KTKLN jika pencarian NIK dan Paspor tidak ditemukan saat lapor diri. Saya tidak tahu apakah lapor diri bisa dilakukan jika tidak memiliki NIK, paspor, dan KTKLN.

Apakah jawaban ini membantu?","Bisa, sistem akan minta input data identitas manual.",0.49999999995,0.0,0.3333333333333333,0.8525202774030769,0.46314080031951965
