user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,answer_correctness,
Bagaimana cara user melakukan pencarian pengumuman di Portal Pelayanan WNI?,"['30 \n \nII.5.2 Pencarian Informasi Pelayanan \nUser juga dapat melakukan pencarian informasi pelayanan berdasarkan negara pada ‘Search \nBar’, maka sistem langsung menampilkan data negara yang sesuai dengan pencarian yang dilakukan \nuser. \n \nII.6 Menu Pengumuman \nMenu pengumuman digunakan untuk menampilkan pengumuman mengenai pelayanan \nmaupun hal-hal yang berkaitan dengan perlindungan WNI di luar negeri. Untuk dapat \nmengakses menu tersebut, user dapat memilih ‘Penguman’, kemudian sistem akan \nmenampilkan halaman pengumuman seperti berikut. \n \nGambar 50 WNI – Pengumuman \nII.6.1 Lihat Detail \nUntuk melihat detail dari pengumuman yang ada, user dapat klik pada judul pengumuman, \nkemudian sistem akan menampilkan halaman detail pengumuman seperti berikut.', '31 \n \n \nGambar 51 WNI – Detail Pengumuman \nII.6.2 Pencarian Data Pengumuman \nPada menu pengumuman, user juga dapat melakukan pencarian pengumuman dengan \nmengetikkan kata kunci pada ‘Search Bar’, maka sistem langsung menampilkan data \npengumuman yang sesuai dengan pencarian yang dilakukan user. \n \nII.7 Menu Referensi \nMenu ini menampilkan referensi hukum terkait perlindungan WNI di luar negeri. Untuk \ndapat mengakses menu tersebut, user dapat memilih ‘Referensi’ ,kemudian \nsistem \nakan menampilkan halaman referensi yang telah dikelompokan berdasarkan kategori, \nseperti berikut.', '4 \n \nBAB II PENJELASAN PENGGUNAAN SISTEM APLIKASI \n \nBagian ini akan menjelaskan tentang cara penggunaan Portal Pelayanan dan Pelindungan \nWNI di luar negeri untuk user WNI. Untuk dapat mengakses fitur-fitur yang ada di Portal \nPelayanan dan Pelindungan WNI di luar negeri, sesuai dengan standar keamanan website, \n \nuser diharuskan untuk melakukan login terlebih dahulu dengan cara klik Masuk, \nkemudian sistem akan menampilkan form login seperti berikut. \n \nGambar 3 WNI - Login \n \nApabila user sudah mempunyai akun pada Portal Pelayanan dan Pelindungan WNI di Luar \nNegeri, maka user dapat mengetikkan email dan password pada kolom yang sudah \ndisediakan lalu klik ‘Masuk’  untuk masuk. Apabila user belum mempunyai akun pada Portal', '5 \n \nSelesai mengisikan keseluruhan kolom, user dapat klik ‘Daftar’, untuk mendaftarkan akun \ndan melanjutkan proses untuk masuk dalam Portal Pelayanan dan Pelindungan WNI di luar \nnegeri. \n \nSetelah berhasil mendaftarkan akun, user akan mendapatkan email konfirmasi \npendaftaran, seperti berikut. \n \nGambar 5 WNI – Email Konfirmasi \n \nUser akan mendapatkan email yang berisi informasi bahwa WNI telah melakukan registrasi. \nSetelah itu, user diminta untuk melakukan konfirmasi email dengan klik link yang ada di \nkonten email tersebut, dan jika telah berhasil maka user dapat login menggunakan email \ndan password yang didaftarkan di awal. \nII.1 Menu Beranda \nMenu ini merupakan halaman awal ketika user berhasil login pada Portal Pelayanan dan']","

System: Untuk melakukan pencarian pengumuman di Portal Pelayanan WNI, user dapat memilih menu ""Pengumuman"" dan mengetikkan kata kunci pada ""Search Bar"". Sistem akan menampilkan data pengumuman yang sesuai dengan pencarian yang dilakukan user. Apakah jawaban saya membantu?","User dapat mengetikkan kata kunci pada kolom 'Search Bar' di menu pengumuman, dan sistem akan langsung menampilkan data pengumuman yang sesuai dengan pencarian.",1,1,1,0.89065436,0.833674805,u
Apa fungsi dari menu Referensi dalam Portal Pelayanan dan Pelindungan WNI?,"['2 \n \n \nGambar 2 Halaman Awal Aplikasi \nI.4 Fungsi - Fungsi Menu \nPortal Pelayanan dan Pelindungan WNI di Luar Negeri memiliki menu-menu untuk \nmempermudah User dalam menggunakan aplikasi. Berikut adalah daftar menu yang ada \npada Portal Pelayanan dan Pelindungan WNI di Luar Negeri untuk user WNI. \n \nTabel 1 Daftar Menu \nNO \nMenu \nKeterangan \nWNI \n1. \nBeranda \nMenu ini menampilkan halaman awal ketika user \nmengakses Portal Pelayanan dan Pelindungan WNI di Luar \nNegeri. \n2. \nLapor Diri \nMenu ini digunakan untuk melaporkan diri terkait \nkedatangan, perpindahan, kepulangan WNI di luar negeri, \ndan kedatangan anggota keluarga. \n3. \nPerlindungan \nMenu ini digunakan untuk melaporkan terkait kasus yang \ndialami oleh WNI sebagai pelapor/terlapor. \n4. \nPengaduan Layanan \nMenu', 'dialami oleh WNI sebagai pelapor/terlapor. \n4. \nPengaduan Layanan \nMenu \nini digunakan untuk melakukan pengaduan \nterhadap pelayanan yang dilakukan Perwakilan RI. \n5. \nPelayanan \nMenu ini digunakan untuk mengajukan pelayanan terkait \ndokumen penting WNI sehingga tidak perlu kembali ke \nIndonesia untuk mengurus dokumen. \n6. \nInformasi Pelayanan \nMenu ini menampilkan informasi pelayanan yang ada pada \nmasing-masing perwakilan.', 'Pelindungan WNI di luar negeri. Pada halaman beranda, sistem akan menampilkan \ninformasi yang terdiri dari slideshow, fasilitas portal mengenai lapor diri, pelayanan, dan \npengaduan, daftar pelayanan yang difasilitasi portal, serta tentang kami dan hubungi \nkami.', '31 \n \n \nGambar 51 WNI – Detail Pengumuman \nII.6.2 Pencarian Data Pengumuman \nPada menu pengumuman, user juga dapat melakukan pencarian pengumuman dengan \nmengetikkan kata kunci pada ‘Search Bar’, maka sistem langsung menampilkan data \npengumuman yang sesuai dengan pencarian yang dilakukan user. \n \nII.7 Menu Referensi \nMenu ini menampilkan referensi hukum terkait perlindungan WNI di luar negeri. Untuk \ndapat mengakses menu tersebut, user dapat memilih ‘Referensi’ ,kemudian \nsistem \nakan menampilkan halaman referensi yang telah dikelompokan berdasarkan kategori, \nseperti berikut.']","

System: Menu Referensi dalam Portal Pelayanan dan Pelindungan WNI berfungsi untuk menampilkan referensi hukum terkait perlindungan WNI di luar negeri. User dapat mengakses menu ini untuk memperoleh informasi yang dikelompokkan berdasarkan kategori yang telah disediakan. Apakah jawaban saya membantu?",Menu Referensi menampilkan referensi hukum terkait perlindungan WNI di luar negeri.,0.25,1,1,0.977155963,0.609751311,u
Bagaimana cara mengakses referensi hukum dalam portal tersebut?,"['31 \n \n \nGambar 51 WNI – Detail Pengumuman \nII.6.2 Pencarian Data Pengumuman \nPada menu pengumuman, user juga dapat melakukan pencarian pengumuman dengan \nmengetikkan kata kunci pada ‘Search Bar’, maka sistem langsung menampilkan data \npengumuman yang sesuai dengan pencarian yang dilakukan user. \n \nII.7 Menu Referensi \nMenu ini menampilkan referensi hukum terkait perlindungan WNI di luar negeri. Untuk \ndapat mengakses menu tersebut, user dapat memilih ‘Referensi’ ,kemudian \nsistem \nakan menampilkan halaman referensi yang telah dikelompokan berdasarkan kategori, \nseperti berikut.', '4 \n \nBAB II PENJELASAN PENGGUNAAN SISTEM APLIKASI \n \nBagian ini akan menjelaskan tentang cara penggunaan Portal Pelayanan dan Pelindungan \nWNI di luar negeri untuk user WNI. Untuk dapat mengakses fitur-fitur yang ada di Portal \nPelayanan dan Pelindungan WNI di luar negeri, sesuai dengan standar keamanan website, \n \nuser diharuskan untuk melakukan login terlebih dahulu dengan cara klik Masuk, \nkemudian sistem akan menampilkan form login seperti berikut. \n \nGambar 3 WNI - Login \n \nApabila user sudah mempunyai akun pada Portal Pelayanan dan Pelindungan WNI di Luar \nNegeri, maka user dapat mengetikkan email dan password pada kolom yang sudah \ndisediakan lalu klik ‘Masuk’  untuk masuk. Apabila user belum mempunyai akun pada Portal', '40 \n \nBAB III PENUTUP \n \nDemikian Panduan ini dibuat untuk memudahkan WNI memahami dan menggunakan \naplikasi Portal Pelayanan dan Pelindungan WNI di Luar Negeri.', 'untuk bisa mengakses dengan login pada halaman login dengan email dan password \ntertentu. Untuk memulai aplikasi ini, pertama kali kita bisa menggunakan salah satu \nbrowser, kemudian mengisikan alamat URL aplikasi pada address bar, yaitu \nhttp://peduliwni.kemlu.go.id/. Setelah user menjalankan URL tersebut, maka akan \nterlihat tampilan berikut ini. \nProfil WNI \nFAQ \nReferensi \nPengumuman \nInformasi Pelayanan \nWNI \nPelayanan \nPengaduan Layanan \nPelindungan \nLapor Diri \nBeranda']","

System: Untuk mengakses referensi hukum terkait perlindungan WNI di luar negeri, Anda dapat memilih menu ""Referensi"" pada halaman utama. Kemudian sistem akan menampilkan halaman referensi yang telah dikelompokan berdasarkan kategori. Apakah jawaban saya membantu?","Untuk mengaksesnya, user memilih menu 'Referensi' dan sistem akan menampilkan daftar referensi yang telah dikelompokkan berdasarkan kategori hukum.",0.75,1,0.5,0.886698753,0.831541305,u
Apa syarat agar WNI dapat melihat dan mengubah data profilnya di portal WNI?,"['32 \n \n \nGambar 52 WNI – Referensi \nII.8 Profil WNI \nUser dapat melihat profil serta melakukan ubahan data apabila status lapor dirinya sudah \nvalid dengan klik dropdown yang terdapat dibagian kanan atas pada menu profil  maka \nakan tampil laman profil sebagai berikut.', '35 \n \n \nGambar 56 Profil WNI - Ubah Identitas \nSetelah melakukan perubahan pada profil WNI user dapat klik ‘Simpan’ \n. Maka ubahan \ndata profil akan tersimpan. \n \nCatatan: perubahan paspor, visa serta Negara, Provinsi dan Kota pada wilayah akreditasi \nperwakilan yang berbeda membutuhkan validasi dari perwakilan terkait, oleh karena itu \nsistem akan otomatis meng-create data lapor diri baru sebagai berikut.', '34 \n \nII.8.1.1 Identitas \nUntuk melihat detail identitas user dapat klik pada tab ‘Identitas’ \nkemudian sistem akan \nmengarahkan WNI ke laman sebagai berikut. \n \nGambar 55 Profil WNI - Identitas \nLaman akan menampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap \ndan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. \nII.8.1.1.1 Ubah Profil \nUser dapat melakukan ubahan profil terkait identitas dengan klik ‘Ubah Profil’, maka field- \nfield pada halaman profil akan dapat diedit sebagai berikut.', '33 \n \n \nGambar 53 Informasi Akun (2) \nUser dapat klik pada icon profil \nmaka sistem akan menampilkan laman profil WNI \nsebagai berikut. \n \nGambar 54 Profil WNI \nII.8.1 Lihat Detail \nPada laman profil WNI user dapat melihat detail dan history ajuan layanan sebagai berikut:']","

System: Untuk dapat melihat dan mengubah data profil di portal WNI, WNI harus memiliki status lapor diri yang sudah valid. Jika status lapor diri sudah valid, WNI dapat mengklik dropdown di bagian kanan atas pada menu profil dan akan tampil laman profil yang memungkinkan untuk melihat dan mengubah data profil. Apakah informasi ini membantu?",User dapat melihat dan mengubah data pada menu Profil jika status lapor dirinya sudah valid.,1,1,1,0,0.731244105,u
Apa saja informasi yang dapat dilihat oleh user pada bagian Lihat Detail dalam Profil WNI?,"['33 \n \n \nGambar 53 Informasi Akun (2) \nUser dapat klik pada icon profil \nmaka sistem akan menampilkan laman profil WNI \nsebagai berikut. \n \nGambar 54 Profil WNI \nII.8.1 Lihat Detail \nPada laman profil WNI user dapat melihat detail dan history ajuan layanan sebagai berikut:', '34 \n \nII.8.1.1 Identitas \nUntuk melihat detail identitas user dapat klik pada tab ‘Identitas’ \nkemudian sistem akan \nmengarahkan WNI ke laman sebagai berikut. \n \nGambar 55 Profil WNI - Identitas \nLaman akan menampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap \ndan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. \nII.8.1.1.1 Ubah Profil \nUser dapat melakukan ubahan profil terkait identitas dengan klik ‘Ubah Profil’, maka field- \nfield pada halaman profil akan dapat diedit sebagai berikut.', '32 \n \n \nGambar 52 WNI – Referensi \nII.8 Profil WNI \nUser dapat melihat profil serta melakukan ubahan data apabila status lapor dirinya sudah \nvalid dengan klik dropdown yang terdapat dibagian kanan atas pada menu profil  maka \nakan tampil laman profil sebagai berikut.', '30 \n \nII.5.2 Pencarian Informasi Pelayanan \nUser juga dapat melakukan pencarian informasi pelayanan berdasarkan negara pada ‘Search \nBar’, maka sistem langsung menampilkan data negara yang sesuai dengan pencarian yang dilakukan \nuser. \n \nII.6 Menu Pengumuman \nMenu pengumuman digunakan untuk menampilkan pengumuman mengenai pelayanan \nmaupun hal-hal yang berkaitan dengan perlindungan WNI di luar negeri. Untuk dapat \nmengakses menu tersebut, user dapat memilih ‘Penguman’, kemudian sistem akan \nmenampilkan halaman pengumuman seperti berikut. \n \nGambar 50 WNI – Pengumuman \nII.6.1 Lihat Detail \nUntuk melihat detail dari pengumuman yang ada, user dapat klik pada judul pengumuman, \nkemudian sistem akan menampilkan halaman detail pengumuman seperti berikut.']","

System: Pada bagian Lihat Detail dalam Profil WNI, user dapat melihat detail dan history ajuan layanan, identitas, data di luar negeri, tujuan menetap, dan kontak darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. User juga dapat melakukan ubahan profil terkait identitas dengan klik 'Ubah Profil'. Apakah informasi ini membantu?","User dapat melihat detail identitas, riwayat lapor diri, pelayanan, pengaduan, serta dokumen yang pernah diajukan atau diunggah.",1,0,0.857142857,0.879368393,0.438349263,
Informasi apa saja yang ditampilkan pada tab Identitas dalam halaman Profil WNI?,"['34 \n \nII.8.1.1 Identitas \nUntuk melihat detail identitas user dapat klik pada tab ‘Identitas’ \nkemudian sistem akan \nmengarahkan WNI ke laman sebagai berikut. \n \nGambar 55 Profil WNI - Identitas \nLaman akan menampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap \ndan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. \nII.8.1.1.1 Ubah Profil \nUser dapat melakukan ubahan profil terkait identitas dengan klik ‘Ubah Profil’, maka field- \nfield pada halaman profil akan dapat diedit sebagai berikut.', '33 \n \n \nGambar 53 Informasi Akun (2) \nUser dapat klik pada icon profil \nmaka sistem akan menampilkan laman profil WNI \nsebagai berikut. \n \nGambar 54 Profil WNI \nII.8.1 Lihat Detail \nPada laman profil WNI user dapat melihat detail dan history ajuan layanan sebagai berikut:', '8 \n \nPertama, seorang WNI akan ditampilkan halaman pengisian NIK. Sistem juga \nmenyediakan informasi mengenai nomor NIK yang harus di masukkan user dengan \nklik  ‘ i ’ , maka sistem akan menampilkan informasi NIK dan contoh nomor NIK \nseperti berikut. \n \nGambar 9 WNI - Lapor Diri - Informasi NIK \nSetelah memasukkan nomor NIK, maka user dapat klik ‘Cek Data’ kemudian \nsistem akan melakukan pengecekan nomor NIK tersebut yang langsung \nterhubung dengan SIAK (Sistem Informasi Administrasi Kependudukan), apabila \nnomor NIK tersebut valid, maka sistem akan menampilkan pop up seperti berikut. \n \nGambar 10 WNI - Lapor Diri - Pop Up Identitas \nJika data identitas sudah sesuai, user dapat memilih ‘Ya’ \nuntuk \nmelanjutkan proses selanjutnya, atau pilih ‘Tidak’ untuk input ulang NIK. Apabila,', '32 \n \n \nGambar 52 WNI – Referensi \nII.8 Profil WNI \nUser dapat melihat profil serta melakukan ubahan data apabila status lapor dirinya sudah \nvalid dengan klik dropdown yang terdapat dibagian kanan atas pada menu profil  maka \nakan tampil laman profil sebagai berikut.']","

System: Pada tab Identitas dalam halaman Profil WNI, ditampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap, dan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. Apakah informasi tersebut membantu?","Laman Identitas menampilkan informasi identitas pribadi, data di luar negeri, tujuan menetap, dan kontak darurat yang diisi saat lapor diri.",1,1,1,0.940778727,0.899699045,u
Bagaimana langkah user untuk mengubah data identitas pada halaman Profil?,"['34 \n \nII.8.1.1 Identitas \nUntuk melihat detail identitas user dapat klik pada tab ‘Identitas’ \nkemudian sistem akan \nmengarahkan WNI ke laman sebagai berikut. \n \nGambar 55 Profil WNI - Identitas \nLaman akan menampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap \ndan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. \nII.8.1.1.1 Ubah Profil \nUser dapat melakukan ubahan profil terkait identitas dengan klik ‘Ubah Profil’, maka field- \nfield pada halaman profil akan dapat diedit sebagai berikut.', '35 \n \n \nGambar 56 Profil WNI - Ubah Identitas \nSetelah melakukan perubahan pada profil WNI user dapat klik ‘Simpan’ \n. Maka ubahan \ndata profil akan tersimpan. \n \nCatatan: perubahan paspor, visa serta Negara, Provinsi dan Kota pada wilayah akreditasi \nperwakilan yang berbeda membutuhkan validasi dari perwakilan terkait, oleh karena itu \nsistem akan otomatis meng-create data lapor diri baru sebagai berikut.', '32 \n \n \nGambar 52 WNI – Referensi \nII.8 Profil WNI \nUser dapat melihat profil serta melakukan ubahan data apabila status lapor dirinya sudah \nvalid dengan klik dropdown yang terdapat dibagian kanan atas pada menu profil  maka \nakan tampil laman profil sebagai berikut.', '33 \n \n \nGambar 53 Informasi Akun (2) \nUser dapat klik pada icon profil \nmaka sistem akan menampilkan laman profil WNI \nsebagai berikut. \n \nGambar 54 Profil WNI \nII.8.1 Lihat Detail \nPada laman profil WNI user dapat melihat detail dan history ajuan layanan sebagai berikut:']","

System: Untuk mengubah data identitas pada halaman Profil, user dapat klik pada tab 'Identitas' dan kemudian klik 'Ubah Profil'. Setelah melakukan perubahan, user dapat klik 'Simpan' untuk menyimpan perubahan data. Apakah jawaban saya membantu?","User dapat klik 'Ubah Profil' di laman Profil WNI, lalu mengedit data identitas dan menyimpan perubahan.",1,1,0.833333333,0.886116549,0.68238734,u
Apa dampak perubahan paspor atau wilayah perwakilan pada data profil WNI?,"['35 \n \n \nGambar 56 Profil WNI - Ubah Identitas \nSetelah melakukan perubahan pada profil WNI user dapat klik ‘Simpan’ \n. Maka ubahan \ndata profil akan tersimpan. \n \nCatatan: perubahan paspor, visa serta Negara, Provinsi dan Kota pada wilayah akreditasi \nperwakilan yang berbeda membutuhkan validasi dari perwakilan terkait, oleh karena itu \nsistem akan otomatis meng-create data lapor diri baru sebagai berikut.', '34 \n \nII.8.1.1 Identitas \nUntuk melihat detail identitas user dapat klik pada tab ‘Identitas’ \nkemudian sistem akan \nmengarahkan WNI ke laman sebagai berikut. \n \nGambar 55 Profil WNI - Identitas \nLaman akan menampilkan informasi terkait identitas, data di luar negeri, Tujuan Menetap \ndan Kontak Darurat yang sebelumnya sudah diisikan WNI pada saat melakukan lapor diri. \nII.8.1.1.1 Ubah Profil \nUser dapat melakukan ubahan profil terkait identitas dengan klik ‘Ubah Profil’, maka field- \nfield pada halaman profil akan dapat diedit sebagai berikut.', '7 \n \nII.2 Menu Lapor Diri \nBerdasarkan Undang-undang No.23 tahun 2006 tentang Administrasi Kependudukan, \nsetiap Warga Negara Indonesia (WNI) yang berada di luar negeri wajib melaporkan \nkeberadaan, kepindahan, perubahan alamat, status izin tinggal, serta kejadian penting \nlainnya (seperti kelahiran, perkawinan, perceraian, maupun kematian) kepada \npemerintah setempat dan/atau Operator Perwakilan RI yang meliputi tempat tinggalnya \n(Pasal 4 UU no.23/2006). Oleh karena itu, sistem menyediakan fitur untuk \nmempermudah WNI dalam melakukan lapor diri dengan memilih ‘Lapor Diri’, selanjutnya, \nsistem akan menampilkan halaman menu lapor diri seperti berikut. \nGambar 7 WNI - Lapor Diri \nAda 4 jenis lapor diri dalam Portal Pelayanan dan Pelindungan WNI di luar negeri, \nyaitu: \n1. Kedatangan WNI', 'yaitu: \n1. Kedatangan WNI \n2. Perpindahan \n3. Kepulangan \n4. Keluarga \nII.2.1 Kedatangan WNI \nII.2.1.1 Kedatangan – Belum Pernah Lapor Diri \nBagi user yang belum pernah melaporkan diri di perwakilan, user dapat klik ‘Lapor \nSekaraang’, maka sistem akan menampilkan halaman pengisian lapor diri \nkedatangan seperti berikut. \n \nGambar 8 WNI - Lapor Diri - Input NIK']","

System: Perubahan paspor, visa, serta Negara, Provinsi, dan Kota pada wilayah akreditasi perwakilan yang berbeda membutuhkan validasi dari perwakilan terkait. Oleh karena itu, sistem akan otomatis meng-create data lapor diri baru. Apakah jawaban saya membantu?","Jika user mengubah paspor, visa, atau lokasi perwakilan, sistem akan otomatis membuat data lapor diri baru yang harus diverifikasi ulang, dan status lapor diri sebelumnya menjadi tidak aktif.",1,0.5,1,0,0.48114711,u
Apa informasi yang ditampilkan dalam fitur Riwayat Lapor Diri di Profil WNI?,"['Gambar 58 Profil WNI - Riwayat Lapor Diri \nII.8.1.3 Riwayat Pelayanan \n \nUntuk melihat history layanan yang sudah diajukan, user dapat klik pada ‘Riwayat \nPelayanan’, maka sistem akan menampilkan halaman Riwayat pelayanan yang memuat \ninformasi terkait tanggal pengajuan, perwakilan tempat pengajuan layanan, nomor \nlayanan, Jenis layanan serta status dari layanan yang sudah diajukan sebagai berikut.', '36 \n \n \nGambar 57 Nomor registrasi lapor diri baru sesudah ubahan data \nHal ini menyebabkan status lapor diri yang sebelumnya valid akan menjadi data lapor diri \nbaru yang statusnya masih menunggu verifikasi. \nII.8.1.2 Riwayat Lapor Diri \nUntuk melihat riwayat lapor diri yang pernah diajukan sebelumnya, user dapat klik pada ‘Riwayat \nLapor Diri’, sistem akan menampilkan informasi berupa tanggal lapor diri, nomor registrasi lapor diri, \ninformasi lapor diri yang dilakukan apakah berupa kedatangan, kepindahan atau kepulangan, lalu \nterdapat kolom yang memuat alamat serta informasi perwakilan keberadaan WNI. Tampilan laman \nRiwayat lapor diri adalah sebagai berikut. \n \nGambar 58 Profil WNI - Riwayat Lapor Diri \nII.8.1.3 Riwayat Pelayanan', 'Gambar 88 Profil WNI - Riwayat Lapor Diri ............................................................................ 36 \nGambar 89 Profil WNI - Riwayat Pelayanan ........................................................................... 37 \nGambar 90 Profil WNI - Riwayat Pengaduan ......................................................................... 37 \nGambar 91 WNI – Informasi Akun (3) ..................................................................................... 38 \nGambar 92 WNI – Ubah Password .......................................................................................... 38 \nGambar 93 WNI – Informasi Akun (4) .................................................................................... 39', '37 \n \n \nGambar 59 Profil WNI - Riwayat Pelayanan \nII.8.1.4 Riwayat Pengaduan \n \nUntuk melihat riwayat aduan kasus, user dapat klik pada ‘Riwayat Pengaduan’, \nselanjutnya sistem akan menampilkan halaman Riwayat pengaduan yang memuat \ninformasi tanggal pengaduan, informasi perwakilan, nomor pengaduan, jenis pengaduan \ndan kategori kasus, serta status dari pengaduan sebagai berikut. \n \nGambar 60 Profil WNI - Riwayat Pengaduan \nII.8.1.5 Riwayat Dokumen \nUser dapat melihat dokumen-dokumen yang sebelumnya sudah di-upload pada portal \n \ndengan klik pada ‘Riwayat Dokumen’, maka laman akan menampilkan preview dokumen \nyang sudah di-upload. \nII.9 Fitur Lain \nII.9.1 Ubah Password \nJika user ingin mengubah password, user dapat klik nama di pojok kanan atas ‘Menu']","

System: Informasi yang ditampilkan dalam fitur Riwayat Lapor Diri di Profil WNI adalah tanggal lapor diri, nomor registrasi lapor diri, informasi lapor diri (kedatangan, kepindahan, atau kepulangan), alamat, dan informasi perwakilan keberadaan WNI. Apakah informasi ini membantu?","Fitur Riwayat Lapor Diri menampilkan tanggal, nomor registrasi, jenis laporan (kedatangan, perpindahan, kepulangan), alamat, dan informasi perwakilan.",0.5,1,0.833333333,0.924194671,0.917701233,u
Apa isi informasi yang disediakan dalam fitur Riwayat Pelayanan?,"['Gambar 58 Profil WNI - Riwayat Lapor Diri \nII.8.1.3 Riwayat Pelayanan \n \nUntuk melihat history layanan yang sudah diajukan, user dapat klik pada ‘Riwayat \nPelayanan’, maka sistem akan menampilkan halaman Riwayat pelayanan yang memuat \ninformasi terkait tanggal pengajuan, perwakilan tempat pengajuan layanan, nomor \nlayanan, Jenis layanan serta status dari layanan yang sudah diajukan sebagai berikut.', '37 \n \n \nGambar 59 Profil WNI - Riwayat Pelayanan \nII.8.1.4 Riwayat Pengaduan \n \nUntuk melihat riwayat aduan kasus, user dapat klik pada ‘Riwayat Pengaduan’, \nselanjutnya sistem akan menampilkan halaman Riwayat pengaduan yang memuat \ninformasi tanggal pengaduan, informasi perwakilan, nomor pengaduan, jenis pengaduan \ndan kategori kasus, serta status dari pengaduan sebagai berikut. \n \nGambar 60 Profil WNI - Riwayat Pengaduan \nII.8.1.5 Riwayat Dokumen \nUser dapat melihat dokumen-dokumen yang sebelumnya sudah di-upload pada portal \n \ndengan klik pada ‘Riwayat Dokumen’, maka laman akan menampilkan preview dokumen \nyang sudah di-upload. \nII.9 Fitur Lain \nII.9.1 Ubah Password \nJika user ingin mengubah password, user dapat klik nama di pojok kanan atas ‘Menu', '27 \n \n \nGambar 45 WNI – Pelayanan \n \nPada halaman ini, user dapat memilih pelayanan yang dibutuhkan. User mengisi \nform sesuai pelayanan yang dipilih, setelah itu data akan masuk ke sistem dan \nmenunggu verifikasi oleh perwakilan. \nII.5 Menu Informasi Pelayanan \nMenu ini menampilkan informasi mengenai pelayanan yang disediakan oleh masing- \nmasing perwakilan di seluruh negara. Pada menu ini, user juga dapat melihat alamat \nperwakilan , serta dapat melihat pelayanan apa saja yang disediakan di perwakilan \ntersebut. Untuk dapat mengakses menu Informasi Pelayanan, user dapat memilih \n‘Informasi Pelayanan’ maka sistem akan menampilkan menu informasi pelayanan seperti \nberikut.', 'ii \n \nII.8.1.1.1 Ubah Profil ................................................................................................... 34 \nII.8.1.2 Riwayat Lapor Diri ............................................................................................. 36 \nII.8.1.3 Riwayat Pelayanan ............................................................................................ 36 \nII.8.1.4 Riwayat Pengaduan .......................................................................................... 37 \nII.8.1.5 Riwayat Dokumen ............................................................................................ 37 \nII.9 Fitur Lain ........................................................................................................................ 37']","

System: Fitur Riwayat Pelayanan menyediakan informasi terkait tanggal pengajuan, perwakilan tempat pengajuan layanan, nomor layanan, jenis layanan, dan status dari layanan yang sudah diajukan. Apakah informasi ini membantu?","Fitur ini menampilkan tanggal pengajuan, nomor layanan, jenis layanan, lokasi perwakilan, serta status layanan yang sudah diajukan.",0.805555556,1,1,0.950421012,0.901383709,u
